Time,Longitude,Latitude,Altitude,Roll,Pitch,Yaw
0.05,-0.000167489,0.000550379,51.02,2.719,1.289,260.657
0.10,-0.000167721,0.000550341,50.99,2.576,1.320,260.618
0.15,-0.000167953,0.000550305,50.93,1.896,1.424,260.627
0.20,-0.000168184,0.000550269,50.85,0.702,1.524,260.739
0.25,-0.000168414,0.000550235,50.76,-0.348,1.535,260.966
0.30,-0.000168641,0.000550200,50.64,-0.808,1.655,261.269
0.35,-0.000168866,0.000550165,50.52,-1.079,2.203,261.630
0.40,-0.000169086,0.000550128,50.38,-1.814,3.047,262.107
0.45,-0.000169297,0.000550088,50.23,-2.823,3.665,262.733
0.50,-0.000169496,0.000550040,50.08,-3.538,4.079,263.428
0.55,-0.000169681,0.000549984,49.92,-4.134,4.709,264.094
0.60,-0.000169848,0.000549914,49.76,-4.955,5.481,264.735
0.65,-0.000169992,0.000549827,49.60,-5.813,6.098,265.377
0.70,-0.000170109,0.000549719,49.44,-6.519,6.633,265.975
0.75,-0.000170197,0.000549586,49.29,-7.231,7.222,266.480
0.80,-0.000170250,0.000549422,49.13,-8.014,7.762,266.900
0.85,-0.000170267,0.000549225,48.99,-8.756,8.157,267.235
0.90,-0.000170246,0.000548989,48.84,-9.466,8.422,267.447
0.95,-0.000170185,0.000548713,48.70,-10.234,8.511,267.512
1.00,-0.000170083,0.000548391,48.57,-11.054,8.266,267.434
1.05,-0.000169942,0.000548021,48.44,-11.835,7.591,267.213
1.10,-0.000169764,0.000547598,48.31,-12.494,6.647,266.848
1.15,-0.000169554,0.000547120,48.19,-13.007,5.695,266.359
1.20,-0.000169313,0.000546583,48.07,-13.397,4.835,265.767
1.25,-0.000169044,0.000545983,47.96,-13.703,4.007,265.115
1.30,-0.000168751,0.000545319,47.85,-13.973,3.126,264.437
1.35,-0.000168438,0.000544591,47.76,-14.233,2.176,263.752
1.40,-0.000168108,0.000543800,47.66,-14.481,1.178,263.060
1.45,-0.000167766,0.000542948,47.57,-14.710,0.160,262.362
1.50,-0.000167415,0.000542036,47.48,-14.925,-0.866,261.655
1.55,-0.000167059,0.000541063,47.39,-15.125,-1.897,260.942
1.60,-0.000166701,0.000540030,47.30,-15.310,-2.930,260.225
1.65,-0.000166345,0.000538938,47.21,-15.475,-3.958,259.502
1.70,-0.000165992,0.000537788,47.12,-15.615,-4.971,258.771
1.75,-0.000165646,0.000536580,47.03,-15.721,-5.961,258.030
1.80,-0.000165309,0.000535317,46.93,-15.789,-6.922,257.277
1.85,-0.000164982,0.000533998,46.83,-15.813,-7.846,256.511
1.90,-0.000164668,0.000532627,46.73,-15.791,-8.729,255.729
1.95,-0.000164367,0.000531203,46.62,-15.719,-9.564,254.930
2.00,-0.000164082,0.000529729,46.51,-15.595,-10.348,254.112
2.05,-0.000163812,0.000528205,46.38,-15.416,-11.074,253.274
2.10,-0.000163560,0.000526634,46.26,-15.183,-11.740,252.415
2.15,-0.000163324,0.000525016,46.12,-14.893,-12.340,251.533
2.20,-0.000163107,0.000523353,45.98,-14.549,-12.873,250.629
2.25,-0.000162909,0.000521646,45.82,-14.152,-13.335,249.702
2.30,-0.000162729,0.000519896,45.66,-13.704,-13.727,248.754
2.35,-0.000162569,0.000518105,45.49,-13.209,-14.049,247.787
2.40,-0.000162428,0.000516273,45.32,-12.671,-14.304,246.801
2.45,-0.000162307,0.000514400,45.13,-12.097,-14.494,245.800
2.50,-0.000162207,0.000512489,44.93,-11.490,-14.624,244.786
2.55,-0.000162128,0.000510539,44.73,-10.858,-14.700,243.761
2.60,-0.000162070,0.000508551,44.52,-10.204,-14.724,242.727
2.65,-0.000162034,0.000506526,44.30,-9.533,-14.700,241.688
2.70,-0.000162021,0.000504463,44.07,-8.848,-14.633,240.644
2.75,-0.000162030,0.000502363,43.84,-8.152,-14.526,239.598
2.80,-0.000162063,0.000500227,43.60,-7.449,-14.380,238.551
2.85,-0.000162121,0.000498055,43.36,-6.741,-14.200,237.505
2.90,-0.000162203,0.000495848,43.11,-6.032,-13.986,236.471
2.95,-0.000162311,0.000493607,42.86,-5.327,-13.736,235.464
3.00,-0.000162445,0.000491332,42.60,-4.630,-13.445,234.506
3.05,-0.000162607,0.000489022,42.34,-3.948,-13.107,233.613
3.10,-0.000162799,0.000486679,42.08,-3.286,-12.722,232.804
3.15,-0.000163023,0.000484300,41.82,-2.653,-12.296,232.087
3.20,-0.000163280,0.000481886,41.56,-2.055,-11.831,231.468
3.25,-0.000163574,0.000479437,41.31,-1.493,-11.332,230.939
3.30,-0.000163907,0.000476952,41.07,-0.965,-10.804,230.490
3.35,-0.000164280,0.000474433,40.84,-0.463,-10.252,230.103
3.40,-0.000164694,0.000471882,40.62,0.021,-9.679,229.766
3.45,-0.000165149,0.000469302,40.41,0.496,-9.093,229.465
3.50,-0.000165645,0.000466696,40.21,0.972,-8.500,229.186
3.55,-0.000166181,0.000464069,40.03,1.452,-7.907,228.919
3.60,-0.000166754,0.000461425,39.85,1.940,-7.322,228.651
3.65,-0.000167364,0.000458769,39.69,2.435,-6.750,228.374
3.70,-0.000168008,0.000456105,39.54,2.939,-6.196,228.079
3.75,-0.000168684,0.000453437,39.40,3.451,-5.662,227.763
3.80,-0.000169391,0.000450770,39.27,3.970,-5.147,227.425
3.85,-0.000170128,0.000448105,39.14,4.498,-4.648,227.068
3.90,-0.000170892,0.000445448,39.01,5.034,-4.161,226.697
3.95,-0.000171683,0.000442801,38.89,5.580,-3.679,226.320
4.00,-0.000172500,0.000440166,38.78,6.135,-3.197,225.944
4.05,-0.000173343,0.000437546,38.66,6.701,-2.710,225.578
4.10,-0.000174213,0.000434945,38.55,7.278,-2.212,225.228
4.15,-0.000175109,0.000432366,38.45,7.866,-1.700,224.903
4.20,-0.000176033,0.000429811,38.34,8.467,-1.170,224.606
4.25,-0.000176985,0.000427284,38.24,9.081,-0.618,224.341
4.30,-0.000177966,0.000424790,38.15,9.711,-0.046,224.112
4.35,-0.000178977,0.000422333,38.06,10.355,0.548,223.920
4.40,-0.000180020,0.000419916,37.97,11.013,1.160,223.763
4.45,-0.000181094,0.000417544,37.89,11.684,1.786,223.641
4.50,-0.000182201,0.000415223,37.82,12.368,2.423,223.549
4.55,-0.000183340,0.000412955,37.75,13.064,3.066,223.483
4.60,-0.000184512,0.000410744,37.68,13.773,3.714,223.439
4.65,-0.000185716,0.000408594,37.63,14.495,4.364,223.412
4.70,-0.000186953,0.000406508,37.57,15.233,5.017,223.400
4.75,-0.000188222,0.000404489,37.52,15.988,5.674,223.400
4.80,-0.000189523,0.000402538,37.47,16.763,6.334,223.412
4.85,-0.000190855,0.000400659,37.43,17.561,7.000,223.436
4.90,-0.000192218,0.000398854,37.38,18.383,7.673,223.473
4.95,-0.000193611,0.000397124,37.34,19.231,8.355,223.526
5.00,-0.000195036,0.000395472,37.29,20.106,9.049,223.601
5.05,-0.000196490,0.000393899,37.24,21.004,9.758,223.703
5.10,-0.000197975,0.000392406,37.19,21.923,10.486,223.843
5.15,-0.000199488,0.000390997,37.14,22.857,11.235,224.034
5.20,-0.000201031,0.000389670,37.08,23.796,12.007,224.291
5.25,-0.000202602,0.000388428,37.02,24.730,12.801,224.637
5.30,-0.000204200,0.000387270,36.95,25.646,13.617,225.101
