Time,Longitude,Latitude,Altitude,Roll,Pitch,Yaw
0.05,-0.000277508,-0.000222304,41.50,4.761,6.204,203.661
0.10,-0.000277745,-0.000222838,41.47,4.387,6.609,203.539
0.15,-0.000277985,-0.000223356,41.43,3.436,7.784,203.560
0.20,-0.000278225,-0.000223846,41.39,2.935,9.028,203.862
0.25,-0.000278460,-0.000224296,41.35,3.107,10.108,204.415
0.30,-0.000278688,-0.000224688,41.32,2.986,11.356,205.147
0.35,-0.000278902,-0.000225007,41.31,2.539,12.607,205.981
0.40,-0.000279092,-0.000225234,41.31,2.122,13.836,206.881
0.45,-0.000279249,-0.000225360,41.34,1.678,15.096,207.826
0.50,-0.000279363,-0.000225377,41.40,1.199,16.372,208.802
0.55,-0.000279425,-0.000225279,41.47,0.727,17.645,209.797
0.60,-0.000279426,-0.000225065,41.57,0.218,18.920,210.806
0.65,-0.000279363,-0.000224739,41.69,-0.342,20.150,211.824
0.70,-0.000279231,-0.000224308,41.82,-0.916,21.068,212.814
0.75,-0.000279032,-0.000223781,41.96,-1.602,21.693,213.639
0.80,-0.000278765,-0.000223168,42.10,-2.503,22.056,214.141
0.85,-0.000278434,-0.000222481,42.25,-3.615,21.920,214.252
0.90,-0.000278037,-0.000221726,42.40,-4.800,21.228,214.042
0.95,-0.000277571,-0.000220907,42.55,-5.733,20.333,213.617
1.00,-0.000277023,-0.000220019,42.71,-6.396,19.597,213.030
1.05,-0.000276380,-0.000219056,42.88,-7.109,18.985,212.340
1.10,-0.000275633,-0.000218016,43.06,-7.911,18.280,211.637
1.15,-0.000274781,-0.000216906,43.26,-8.658,17.433,210.955
1.20,-0.000273832,-0.000215736,43.47,-9.347,16.542,210.241
1.25,-0.000272792,-0.000214515,43.69,-10.019,15.665,209.483
1.30,-0.000271664,-0.000213249,43.92,-10.679,14.800,208.699
1.35,-0.000270449,-0.000211945,44.16,-11.309,13.931,207.902
1.40,-0.000269151,-0.000210608,44.41,-11.907,13.045,207.102
1.45,-0.000267773,-0.000209245,44.66,-12.461,12.153,206.300
1.50,-0.000266318,-0.000207859,44.92,-12.976,11.253,205.500
1.55,-0.000264789,-0.000206457,45.18,-13.447,10.351,204.701
1.60,-0.000263189,-0.000205042,45.44,-13.873,9.451,203.904
1.65,-0.000261519,-0.000203618,45.71,-14.251,8.554,203.109
1.70,-0.000259780,-0.000202188,45.97,-14.583,7.657,202.317
1.75,-0.000257975,-0.000200755,46.24,-14.870,6.762,201.527
1.80,-0.000256105,-0.000199324,46.52,-15.113,5.872,200.739
1.85,-0.000254169,-0.000197896,46.79,-15.311,4.987,199.952
1.90,-0.000252170,-0.000196475,47.06,-15.468,4.111,199.164
1.95,-0.000250107,-0.000195064,47.34,-15.585,3.247,198.375
2.00,-0.000247980,-0.000193665,47.62,-15.665,2.399,197.582
2.05,-0.000245789,-0.000192281,47.90,-15.710,1.570,196.785
2.10,-0.000243533,-0.000190915,48.19,-15.725,0.768,195.981
2.15,-0.000241211,-0.000189570,48.48,-15.711,-0.003,195.169
2.20,-0.000238824,-0.000188249,48.77,-15.673,-0.734,194.345
2.25,-0.000236368,-0.000186954,49.07,-15.615,-1.417,193.507
2.30,-0.000233845,-0.000185689,49.38,-15.541,-2.042,192.653
2.35,-0.000231252,-0.000184456,49.69,-15.452,-2.600,191.780
2.40,-0.000228590,-0.000183257,50.01,-15.352,-3.081,190.886
2.45,-0.000225857,-0.000182093,50.34,-15.241,-3.473,189.967
2.50,-0.000223055,-0.000180966,50.68,-15.120,-3.772,189.022
2.55,-0.000220183,-0.000179875,51.02,-14.990,-3.968,188.050
2.60,-0.000217242,-0.000178822,51.38,-14.854,-4.054,187.049
2.65,-0.000214232,-0.000177803,51.74,-14.714,-4.025,186.018
2.70,-0.000211155,-0.000176819,52.11,-14.573,-3.875,184.960
2.75,-0.000208011,-0.000175865,52.49,-14.436,-3.597,183.890
2.80,-0.000204803,-0.000174940,52.88,-14.305,-3.179,182.834
2.85,-0.000201529,-0.000174038,53.28,-14.175,-2.596,181.820
2.90,-0.000198191,-0.000173157,53.69,-14.030,-1.830,180.871
2.95,-0.000194785,-0.000172290,54.10,-13.839,-0.885,180.006
3.00,-0.000191311,-0.000171432,54.53,-13.557,0.162,179.245
3.05,-0.000187764,-0.000170575,54.97,-13.158,1.266,178.574
3.10,-0.000184147,-0.000169712,55.42,-12.667,2.412,177.955
3.15,-0.000180464,-0.000168834,55.89,-12.155,3.572,177.344
