Time,Longitude,Latitude,Altitude,Roll,Pitch,Yaw
0.05,0.000001239,-0.000001768,47.68,-5.368,-2.534,144.975
0.10,0.000002481,-0.000003532,47.64,-5.485,-2.192,144.873
0.15,0.000003736,-0.000005289,47.59,-5.826,-1.123,144.684
0.20,0.000005008,-0.000007033,47.54,-6.148,0.055,144.463
0.25,0.000006300,-0.000008760,47.49,-6.411,1.147,144.230
0.30,0.000007609,-0.000010463,47.45,-6.717,2.368,143.965
0.35,0.000008933,-0.000012137,47.41,-7.029,3.622,143.681
0.40,0.000010271,-0.000013777,47.37,-7.322,4.845,143.389
0.45,0.000011621,-0.000015377,47.34,-7.621,6.082,143.084
0.50,0.000012980,-0.000016931,47.31,-7.923,7.319,142.771
0.55,0.000014345,-0.000018435,47.29,-8.223,8.543,142.452
0.60,0.000015714,-0.000019882,47.27,-8.525,9.759,142.129
0.65,0.000017085,-0.000021269,47.26,-8.829,10.965,141.800
0.70,0.000018455,-0.000022589,47.25,-9.134,12.156,141.469
0.75,0.000019821,-0.000023838,47.24,-9.442,13.332,141.134
0.80,0.000021182,-0.000025011,47.24,-9.751,14.491,140.796
0.85,0.000022534,-0.000026102,47.24,-10.062,15.630,140.456
0.90,0.000023875,-0.000027108,47.25,-10.373,16.748,140.114
0.95,0.000025203,-0.000028023,47.25,-10.685,17.841,139.769
1.00,0.000026515,-0.000028844,47.27,-10.996,18.907,139.423
1.05,0.000027809,-0.000029566,47.28,-11.306,19.945,139.076
1.10,0.000029082,-0.000030184,47.30,-11.614,20.950,138.728
1.15,0.000030333,-0.000030696,47.32,-11.918,21.921,138.379
1.20,0.000031558,-0.000031096,47.35,-12.217,22.854,138.031
1.25,0.000032757,-0.000031383,47.37,-12.510,23.746,137.683
1.30,0.000033926,-0.000031552,47.40,-12.793,24.584,137.341
1.35,0.000035064,-0.000031602,47.43,-13.067,25.375,137.000
1.40,0.000036170,-0.000031528,47.47,-13.331,26.119,136.663
1.45,0.000037240,-0.000031330,47.50,-13.584,26.803,136.332
1.50,0.000038275,-0.000031005,47.54,-13.823,27.428,136.009
1.55,0.000039272,-0.000030551,47.57,-14.049,27.991,135.694
1.60,0.000040230,-0.000029967,47.61,-14.260,28.491,135.388
1.65,0.000041148,-0.000029252,47.65,-14.458,28.929,135.094
1.70,0.000042025,-0.000028405,47.68,-14.643,29.302,134.812
1.75,0.000042860,-0.000027426,47.72,-14.817,29.621,134.540
1.80,0.000043653,-0.000026315,47.76,-14.980,29.887,134.279
1.85,0.000044403,-0.000025072,47.79,-15.135,30.106,134.028
1.90,0.000045110,-0.000023698,47.83,-15.283,30.281,133.788
1.95,0.000045774,-0.000022193,47.86,-15.426,30.421,133.555
2.00,0.000046394,-0.000020558,47.89,-15.564,30.531,133.331
2.05,0.000046970,-0.000018793,47.93,-15.698,30.613,133.113
