Time,Longitude,Latitude,Altitude,Roll,Pitch,Yaw
0.05,0.000001384,-0.000001050,51.06,-5.497,-2.743,127.205
0.10,0.000002771,-0.000002097,51.02,-5.171,-2.345,127.100
0.15,0.000004168,-0.000003135,50.97,-4.399,-1.206,126.723
0.20,0.000005573,-0.000004164,50.91,-4.068,-0.048,126.318
0.25,0.000006983,-0.000005182,50.85,-3.903,0.968,125.975
0.30,0.000008397,-0.000006184,50.79,-3.135,2.165,125.590
0.35,0.000009809,-0.000007172,50.73,-2.521,3.387,125.183
0.40,0.000011214,-0.000008144,50.66,-2.405,4.493,124.841
0.45,0.000012608,-0.000009097,50.60,-1.843,5.677,124.524
0.50,0.000013986,-0.000010029,50.54,-1.121,6.942,124.170
0.55,0.000015340,-0.000010939,50.48,-0.901,8.060,123.858
0.60,0.000016662,-0.000011823,50.42,-0.476,9.185,123.596
0.65,0.000017937,-0.000012672,50.38,0.240,10.448,123.350
0.70,0.000019152,-0.000013484,50.36,0.603,11.701,123.150
0.75,0.000020292,-0.000014252,50.36,1.089,12.971,122.987
0.80,0.000021340,-0.000014970,50.38,1.694,14.267,122.854
0.85,0.000022283,-0.000015637,50.43,2.145,15.543,122.752
0.90,0.000023107,-0.000016249,50.51,2.722,16.843,122.676
0.95,0.000023798,-0.000016803,50.61,3.307,18.140,122.622
1.00,0.000024346,-0.000017299,50.74,3.852,19.405,122.583
1.05,0.000024740,-0.000017735,50.90,4.466,20.664,122.559
1.10,0.000024972,-0.000018112,51.08,5.048,21.857,122.540
1.15,0.000025037,-0.000018430,51.29,5.603,22.966,122.517
1.20,0.000024926,-0.000018689,51.52,6.146,24.017,122.484
1.25,0.000024632,-0.000018889,51.77,6.622,24.988,122.426
1.30,0.000024146,-0.000019029,52.04,7.039,25.870,122.335
1.35,0.000023459,-0.000019110,52.33,7.387,26.652,122.207
1.40,0.000022568,-0.000019131,52.64,7.691,27.312,122.059
1.45,0.000021470,-0.000019093,52.98,7.981,27.747,121.921
1.50,0.000020167,-0.000018999,53.33,8.256,27.815,121.838
1.55,0.000018662,-0.000018853,53.70,8.549,27.445,121.835
1.60,0.000016962,-0.000018657,54.08,8.829,26.895,121.905
1.65,0.000015073,-0.000018417,54.48,9.048,26.338,122.007
1.70,0.000013002,-0.000018138,54.90,9.215,25.701,122.120
1.75,0.000010759,-0.000017822,55.33,9.314,25.046,122.259
1.80,0.000008352,-0.000017474,55.77,9.352,24.388,122.417
1.85,0.000005787,-0.000017096,56.23,9.355,23.719,122.585
1.90,0.000003072,-0.000016690,56.69,9.307,23.059,122.758
1.95,0.000000214,-0.000016258,57.17,9.218,22.404,122.936
2.00,-0.000002779,-0.000015803,57.66,9.089,21.750,123.120
2.05,-0.000005900,-0.000015325,58.16,8.916,21.102,123.312
2.10,-0.000009142,-0.000014827,58.67,8.700,20.457,123.516
2.15,-0.000012492,-0.000014309,59.19,8.439,19.819,123.735
2.20,-0.000015938,-0.000013773,59.71,8.132,19.180,123.969
2.25,-0.000019468,-0.000013222,60.23,7.779,18.526,124.218
2.30,-0.000023072,-0.000012656,60.76,7.387,17.856,124.486
2.35,-0.000026739,-0.000012076,61.28,6.955,17.164,124.776
2.40,-0.000030462,-0.000011483,61.80,6.489,16.454,125.092
2.45,-0.000034233,-0.000010877,62.32,5.990,15.729,125.435
2.50,-0.000038047,-0.000010258,62.84,5.463,14.996,125.810
2.55,-0.000041898,-0.000009628,63.35,4.917,14.264,126.218
2.60,-0.000045779,-0.000008985,63.86,4.353,13.538,126.662
2.65,-0.000049685,-0.000008331,64.35,3.779,12.823,127.142
2.70,-0.000053610,-0.000007667,64.84,3.201,12.125,127.658
2.75,-0.000057548,-0.000006992,65.32,2.624,11.451,128.202
2.80,-0.000061495,-0.000006308,65.79,2.055,10.809,128.767
2.85,-0.000065444,-0.000005616,66.25,1.484,10.198,129.341
2.90,-0.000069393,-0.000004917,66.69,0.911,9.623,129.913
2.95,-0.000073338,-0.000004212,67.12,0.337,9.089,130.473
3.00,-0.000077277,-0.000003501,67.53,-0.239,8.597,131.014
3.05,-0.000081207,-0.000002786,67.92,-0.814,8.151,131.531
3.10,-0.000085129,-0.000002067,68.29,-1.386,7.749,132.022
3.15,-0.000089040,-0.000001344,68.64,-1.955,7.382,132.490
3.20,-0.000092940,-0.000000617,68.98,-2.530,7.039,132.937
3.25,-0.000096828,0.000000114,69.29,-3.109,6.711,133.367
3.30,-0.000100704,0.000000849,69.59,-3.691,6.394,133.781
3.35,-0.000104568,0.000001586,69.87,-4.268,6.094,134.179
3.40,-0.000108419,0.000002328,70.12,-4.838,5.816,134.561
3.45,-0.000112257,0.000003072,70.36,-5.411,5.553,134.928
3.50,-0.000116083,0.000003820,70.57,-5.994,5.297,135.283
3.55,-0.000119895,0.000004572,70.76,-6.578,5.045,135.628
3.60,-0.000123693,0.000005326,70.94,-7.154,4.796,135.963
