feature,group,raw_importance,normalized_importance
roll,Egocentric Kinematics,0.5918064117431641,0.6677837575063649
pitch,Egocentric Kinematics,0.8070793151855469,0.9106938468489711
rate_p,Egocentric Kinematics,0.6736299991607666,0.7601120283296461
rate_q,Egocentric Kinematics,0.7218213677406311,0.8144903056701126
rate_r,Egocentric Kinematics,0.886224627494812,1.0
body_u,Egocentric Kinematics,0.5059331059455872,0.5708858569816138
body_v,Egocentric Kinematics,0.5457823872566223,0.6158510724300734
body_w,Egocentric Kinematics,0.6359696388244629,0.7176167521119649
speed,Egocentric Kinematics,0.4007081389427185,0.45215188848389826
los_x,Engagement Geometry,0.614295244216919,0.693159753361193
los_y,Engagement Geometry,0.629584789276123,0.7104122022154126
los_z,Engagement Geometry,0.4501877725124359,0.5079838209698944
range,Engagement Geometry,0.3625034689903259,0.4090424230423996
closing,Engagement Geometry,0.41365164518356323,0.46675710914610613
dz,Engagement Geometry,0.31570082902908325,0.3562311622071588
cos_ata,Engagement Geometry,0.2815445065498352,0.31768977956041217
cos_aa,Engagement Geometry,0.44739657640457153,0.5048342852638572
opp_vel_x,Opponent State,0.5087262988090515,0.5740376457909139
opp_vel_y,Opponent State,0.5554255247116089,0.6267322160541745
opp_vel_z,Opponent State,0.4260009825229645,0.480691880259735
in_my_cone,Opponent State,0.07329855859279633,0.08270878095545299
in_other_cone,Opponent State,0.0,0.0
altitude,Safety / Environment,0.6127561330795288,0.6914230479146958
boundary_dist,Safety / Environment,0.3496779799461365,0.39457037087155816
hp_own,Opponent State,0.0,0.0
hp_other,Opponent State,0.3714767098426819,0.4191676673359616
prev_roll,Action Memory,0.47050198912620544,0.5309060192292612
prev_pitch,Action Memory,0.49387168884277344,0.5572759699071492
prev_yaw,Action Memory,0.8239839673042297,0.9297687535873103
prev_thr,Action Memory,0.5094849467277527,0.5748936905172332
