timestamp,episode,alt_ft,roll_rad,pitch_rad,yaw_rad,alt_err_ft,crashed,motor_1,motor_2,motor_3,motor_4,target_heading_rad,along_track_fps,cross_track_fps,reached_target
0.0,0,6.0624,0.040302,-0.020481,6.283185,23.0957,False,0.67,0.67,0.4707,0.17,0.411,0.3628,-0.4585,False
0.05,0,5.9448,0.040302,-0.020481,6.283185,23.2133,False,0.67,0.67,0.4631,0.17,0.411,0.4187,-0.4122,False
0.1,0,5.8671,0.040302,-0.020481,6.283185,23.2909,False,0.67,0.5455,0.2592,0.2144,0.411,0.4745,-0.366,False
0.15,0,5.8728,0.040302,-0.020481,6.283185,23.2853,False,0.67,0.5409,0.2496,0.1725,0.411,0.5304,-0.3199,False
0.2,0,5.978,0.040302,-0.020481,6.283185,23.1801,False,0.67,0.67,0.4808,0.2168,0.411,0.5862,-0.2737,False
0.25,0,6.1877,0.040302,-0.020481,6.283185,22.9704,False,0.67,0.67,0.5504,0.1715,0.411,0.6419,-0.2275,False
0.3,0,6.503,0.040302,-0.020481,6.283185,22.6551,False,0.67,0.571,0.3224,0.1837,0.411,0.6973,-0.1813,False
0.35,0,6.9228,0.040302,-0.020481,6.283185,22.2353,False,0.67,0.5446,0.3749,0.17,0.411,0.7526,-0.1351,False
0.4,0,7.4459,0.040302,-0.020481,0.0,21.7121,False,0.67,0.5149,0.297,0.17,0.411,0.8076,-0.0889,False
0.45,0,8.0687,0.040302,-0.020481,0.0,21.0894,False,0.6278,0.3727,0.2516,0.17,0.411,0.8624,-0.0428,False
0.5,0,8.78,0.040302,-0.020481,0.0,20.378,False,0.6521,0.1836,0.4203,0.17,0.411,0.9169,0.0033,False
0.55,0,9.5768,0.040302,-0.020481,0.0,19.5812,False,0.6442,0.17,0.3925,0.17,0.411,0.9712,0.0492,False
0.6,0,10.4576,0.040302,-0.020481,0.0,18.7004,False,0.67,0.17,0.5045,0.17,0.411,1.0252,0.0951,False
0.65,0,11.4246,0.040302,-0.020481,0.0,17.7335,False,0.67,0.17,0.4055,0.17,0.411,1.0789,0.1408,False
0.7,0,12.4776,0.040302,-0.020481,0.0,16.6804,False,0.67,0.17,0.4682,0.17,0.411,1.1322,0.1865,False
0.75,0,13.6129,0.040302,-0.020481,0.0,15.5452,False,0.6086,0.17,0.357,0.1952,0.411,1.1853,0.2319,False
0.8,0,14.8123,0.040302,-0.020481,0.0,14.3458,False,0.5502,0.17,0.3843,0.391,0.411,1.238,0.2772,False
0.85,0,16.0492,0.040302,-0.020481,0.0,13.1089,False,0.4115,0.17,0.2963,0.4293,0.411,1.2905,0.3224,False
0.9,0,17.2883,0.040302,-0.020481,0.0,11.8697,False,0.4058,0.17,0.4465,0.3579,0.411,1.3428,0.3674,False
0.95,0,18.5092,0.040302,-0.020481,0.0,10.6489,False,0.3387,0.17,0.4491,0.4598,0.411,1.3951,0.4123,False
1.0,0,19.6969,0.040302,-0.020481,0.0,9.4611,False,0.3753,0.17,0.5331,0.5225,0.411,1.4473,0.4572,False
1.05,0,20.8473,0.040302,-0.020481,0.0,8.3108,False,0.323,0.17,0.5498,0.4809,0.411,1.4995,0.5019,False
1.1,0,21.9533,0.040302,-0.020481,0.0,7.2048,False,0.2344,0.17,0.5572,0.4159,0.411,1.5518,0.5466,False
1.15,0,23.0014,0.040302,-0.020481,0.0,6.1566,False,0.17,0.17,0.4495,0.533,0.411,1.6041,0.5913,False
1.2,0,23.9802,0.040302,-0.020481,0.0,5.1779,False,0.17,0.17,0.2938,0.4891,0.411,1.6565,0.636,False
1.25,0,24.8854,0.040302,-0.020481,0.0,4.2727,False,0.17,0.17,0.2733,0.4533,0.411,1.7091,0.6807,False
1.3,0,25.7164,0.040302,-0.020481,0.0,3.4417,False,0.1818,0.17,0.4364,0.552,0.411,1.7618,0.7255,False
1.35,0,26.4741,0.040302,-0.020481,0.0,2.684,False,0.17,0.17,0.3733,0.5509,0.411,1.8148,0.7702,False
1.4,0,27.1594,0.040302,-0.020481,0.0,1.9986,False,0.17,0.17,0.2808,0.5007,0.411,1.8679,0.8151,False
